Wavelength,n,k
299.5,4.999,4.20859
300.9,5.012,4.08745
302.4,5.02,3.97986
303.9,5.021,3.88381
305.4,5.02,3.79744
306.9,5.018,3.71947
308.4,5.015,3.6494
310,5.01,3.58654
311.5,5.009,3.52926
313.1,5.01,3.47799
314.7,5.009,3.43113
316.3,5.012,3.388
317.9,5.016,3.34813
319.5,5.021,3.31025
321.2,5.029,3.27539
322.9,5.04,3.24198
324.6,5.052,3.21021
326.3,5.065,3.18021
328,5.079,3.15252
329.7,5.095,3.12608
331.5,5.115,3.10112
333.3,5.134,3.07909
335.1,5.156,3.05874
336.9,5.179,3.04007
338.8,5.204,3.0228
340.6,5.231,3.00776
342.5,5.261,2.99692
344.4,5.296,2.9886
346.3,5.336,2.98685
348.3,5.383,2.9921
350.2,5.442,3.00462
352.2,5.515,3.02112
354.2,5.61,3.0365
356.3,5.733,3.0379
358.3,5.894,3.01042
360.4,6.089,2.94077
362.5,6.308,2.82063
364.7,6.522,2.64741
366.8,6.695,2.42577
369,6.796,2.16766
371.2,6.829,1.89231
373.4,6.799,1.61843
375.7,6.709,1.36469
378,6.585,1.14394
380.3,6.452,0.96295
382.7,6.316,0.8192
385,6.185,0.70736
387.5,6.062,0.62192
389.9,5.948,0.5551
392.4,5.842,0.49994
394.9,5.744,0.45429
397.4,5.654,0.41605
400,5.57,0.38294
402.5,5.493,0.35435
405.2,5.42,0.3299
407.8,5.349,0.30871
410.5,5.284,0.28935
413.3,5.222,0.27148
416.1,5.164,0.25501
418.9,5.109,0.23985
421.7,5.058,0.22686
424.6,5.009,0.21473
427.5,4.961,0.20501
430.5,4.916,0.19518
433.5,4.872,0.18645
436.6,4.831,0.17755
439.7,4.791,0.16916
442.8,4.753,0.16081
446,4.718,0.15217
449.2,4.682,0.14585
452.5,4.648,0.13978
455.8,4.615,0.13648
459.2,4.583,0.13263
462.6,4.553,0.1285
466.1,4.522,0.12374
469.6,4.495,0.11721
473.2,4.466,0.11096
476.9,4.442,0.10269
480.6,4.416,0.09469
484.3,4.391,0.0862
488.1,4.367,0.08021
492,4.343,0.07613
495.9,4.32,0.07273
499.9,4.298,0.07152
504,4.277,0.06869
508.1,4.255,0.06603
512.3,4.235,0.06219
516.6,4.215,0.05863
520.9,4.196,0.05515
525.4,4.177,0.05261
529.9,4.159,0.04942
534.4,4.14,0.04636
539.1,4.123,0.0443
543.8,4.106,0.04193
548.6,4.089,0.04015
553.5,4.073,0.03803
558.5,4.057,0.03622
563.6,4.042,0.03385
568.7,4.026,0.03187
574,4.012,0.0306
579.4,3.997,0.02952
584.8,3.983,0.02922
590.4,3.969,0.02764
596.1,3.956,0.02708
601.9,3.943,0.02593
607.8,3.931,0.02508
613.8,3.918,0.02385
619.9,3.906,0.02207
626.2,3.893,0.02071
632.6,3.882,0.01966
639.1,3.87,0.01855
645.8,3.858,0.0173
652.6,3.847,0.01623
659.5,3.837,0.01542
666.6,3.826,0.01469
673.8,3.815,0.01417
681.2,3.805,0.01359
688.8,3.796,0.01299
696.5,3.787,0.01244
704.5,3.778,0.01181
712.6,3.768,0.01135
720.8,3.761,0.01083
729.3,3.752,0.01034
738,3.745,0.00972
746.9,3.736,0.0092
756,3.728,0.00872
765.3,3.721,0.00828
774.9,3.714,0.00785
784.7,3.705,0.0074
794.8,3.697,0.00679
805.1,3.688,0.00614
815.7,3.681,0.00534
826.6,3.673,0.00453
855.1,3.6429,0.00362
885.6,3.6254,0.00276
918.4,3.6087,0.0019
953.7,3.5926,0.00121
991.9,3.5773,6.15E-04
1033,3.5628,2.78E-04
1078,3.5491,1.17E-04
1127,3.5362,-1.03E-05
1144,3.5295,-6.25E-05
1200,3.5193,-6.32E-05
1372,3.5007,-4.01E-05
1400,3.4876,-1.61E-05
1532,3.4784,-4.27E-06
1600,3.471,-1.07E-06
1696,3.4644,0
1800,3.4578,1.57E-10
2000,3.449,2.80E-10